current_parent_categories,name,id,location_name,new_category,new_subcategory,clear_categories
Health,Medication Assisted Therapy,144186,"Bridging The Gap Services, LLC",Substance Use,Medicated Assisted Treatment,
Health,Narcotics Anonymous (NA) - 12 Step Program,144189,"Bridging The Gap Services, LLC",Substance Use,Treatment Centers,
Health,Outpatient Program (OP),144192,"By Grace, Inc (counseling services)",Substance Use,Treatment Centers,
Health,Intensive Outpatient Program (IOP),144191,"By Grace, Inc (counseling services)",Substance Use,Treatment Centers,
Health,Community-Based Education and Training,144425,Community Asthma Program,Health,,
Health,"Baltimore City Health Department, Administration",142579,"Baltimore City Health Department, Administration",Substance Use,Treatment Centers,
Health,Medicated Assisted Treatment,144199,"CCG Brooklyn, MD Treatment Center Location",Substance Use,Treatment Centers,
Health,Psychiatric Rehabilitation Program,144433,Changing Lives at Home,Substance Use,Treatment Centers,
Health,Medicated Assisted Treatment,144201,"CCG Frederick, MD Treatment Center",Substance Use,Treatment Centers,
Health,Medicated Assisted Treatment,144202,"CCG Brooklyn, MD Treatment Center Location",Substance Use,Treatment Centers,
Health,Substance Abuse Outpatient Treatment (OP),144111,"BACHS Healthcare, LLC - Baltimore",Substance Use,Treatment Centers,
Health,"Complete Wellness, Inc",144205,The Complete Wellness Mission,Substance Use,Treatment Centers,
Health,Suboxone,144434,Changing Lives at Home,Substance Use,Medicated Assisted Treatment,
Health,Medication Management,144435,Changing Lives at Home,Substance Use,Harm Reduction Treatment,
Health,MEDICATION ASSISTED THERAPY,144207,"Omnis Health Life, LLC",Substance Use,Medicated Assisted Treatment,
Health,Outpatient Mental Health Care,144436,Changing Lives at Home,Substance Use,Treatment Centers,
Health,Substance Use Treatment,144437,"Chase Brexton Health Services, Inc., Baltimore",Substance Use,Treatment Centers,
Health,Substance Abuse Treatment,144085,ABA Health Services,Substance Use,Treatment Centers,
Health,"Men's Health Center, The",143058,"Baltimore City Health Dept., Druid Health District",,,Clear
Health,Outpatient Programs (OP),144262,"Mountain Manor Treatment Center, Highlandtown",Substance Use,Treatment Centers,
Health,Intensive Outpatient Programs (IOP),144263,"Mountain Manor Treatment Center, Highlandtown",Substance Use,Treatment Centers,
Health,Dental Care,144270,"Native American Lifelines, Inc.",Health,Dental Care,
Health,Health Promotion/Disease Prevention,144271,"Native American Lifelines, Inc.",Health,,
Health,Back to School Dental Day,144282,"Native American Lifelines, Inc.",Health,Dental Care,
Health,HIV/AIDS and Hepatitis Prevention,144273,"Native American Lifelines, Inc.",,,Clear
Health,Random Toxicology Screening,144292,New Vision House of Hope,,,Clear
Health,Methadone Treatment,144294,Northern Parkway Treatment Services,Substance Use,Medicated Assisted Treatment,
Health,Intensive Outpatient Program (IOP),144308,"Organization of Hope, Inc.",Substance Use,Treatment Centers,
Health,Intensive Outpatient Program (IOP),144323,Port Recovery,Substance Use,Outpatient,
Health,Medical Care,144329,"Health Care for the Homeless, Inc., Baltimore City",Health,Access to Care (Insurance/ Prescription Assistance),
Health,Dental Care,144330,"Health Care for the Homeless, Inc., Baltimore City",Health,Access to Care (Insurance/ Prescription Assistance),
Health,Intensive Outpatient Programs (IOP),144346,House of Change Behavioral Health,Substance Use,Outpatient,
Health,Outpatient Program (OP),144344,"Healthy Lives, LLC",Substance Use,Outpatient,
Health,Outpatient Program (OP),144347,House of Change Behavioral Health,Substance Use,Outpatient,
Health,Intensive Outpatient Program (IOP),144343,"Healthy Lives, LLC",Substance Use,Outpatient,
Health,Onsite PRP Partnerships,144355,House of Change Behavioral Health,Substance Use,Treatment Centers,
Health,Intensive Outpatient Program (IOP),144359,Huber Rehabilitation Services,Substance Use,Outpatient,
Health,Outpatient Program (OP),144358,Huber Rehabilitation Services,Substance Use,Outpatient,
Health,"I Can't, We Can, Inc.",142884,"I Can't, We Can, Inc.",,,Clear
Health,Emergency contraception,144494,Family planning and reproductive health services (eastern location),,,Clear
Health,Intensive Outpatient Program (IOP),144370,Johns Hopkins Bayview Medical Center - Community Psychiatry Program,Substance Use,Outpatient,
Health,Intensive Outpatient Program (IOP),144232,"MISHA House, LLC",Substance Use,Outpatient,
Health,Outpatient Program (OP),144234,"MISHA House, LLC",Substance Use,Outpatient,
Health,"Tuerk House, Inc",141058,"Tuerk House, Inc",,,Clear
Health,Health Screenings,144634,Baltimore Healthy Start Inc,,,Clear
Health,Day Hospital,144682,Aspen Day Treatment,,,Clear
Health,Opioid Use Disorder Treatment,144376,Sinai Hospital Addictions Recovery Program,,,Clear
Health,Psychiatric Rehabilitation Services,144092,American Psychiatric Group,,,Clear
Health,Health Education,144544,"AbsoluteCARE, Greenbelt",,,Clear
Health,Mental health services,144695,Baltimore Cares Inc,,,Clear
Health,"Key Point Health Services, Inc. Dundalk",142472,"Key Point Health Services, Inc. Dundalk",,,Clear
Health,"Key Point Health Services, Inc., Aberdeen",143768,"Key Point Health Services, Inc., Aberdeen",,,Clear
Health,"Baltimore City DSS, Office of Male Initiatives",142718,"Baltimore City DSS, Family Preservation Services",,,Clear
Health,"Baltimore City DSS, Temporary Cash Assistance (TCA)",143526,"Baltimore City DSS, Child Care Program",,,Clear
Health,Medicated Assisted Treatment,144200,Central Baltimore,,,Clear
Health,Intensive Outpatient Treatment and Outpatient Therapy,144074,"A Step Forward, Inc.",,,Clear
Health,"Walter P. Carter, Carruthers Clinic",140803,Walter P. Carter Fayette Clinic,,,Clear
Health,Methadone Treatment,144094,Pine Heights Treatment Center,,,Clear
Health,Intensive Outpatient Services,144100,Audacity of Hope Behavioral Health,,,Clear
Health,Substance Abuse Intensive Outpatient Program (IOP),144110,"BACHS Healthcare, LLC - Baltimore",,,Clear
Health,Blood Services,144670,American Red Cross,,,Clear
"Health Specialties, Health",Risk of Diabetes Test,144480,"American Diabetes Association, Baltimore Location",,,Clear
"Health Specialties, Health, Age Group","Baltimore City Health Department, Community Asthma Program",142405,"Baltimore City Health Department, Administration",,,Clear
"Health Specialties, Health, Age Group, Disability",Psychiatric Rehabilitation Programs,144577,"Affiliated Sante Group, Prince George's County",,,Clear
"Health, Age Group",Counseling,144583,"Alternatives to Dependency, Towson (Main Office)",,,Clear
"Health, Age Group",Drug and alcohol screening,144582,"Alternatives to Dependency, Towson (Main Office)",,,Clear
"Health, Age Group",Substance Abuse Treatment,144694,Baltimore Cares Inc,,,Clear
"Health, Age Group",Baltimore Neighbors Network,144837,Baltimore Neighbors Network,,,Clear
"Health, Age Group",Virtual Exercise,145213,Virtual Recreation Center,,,Clear
"Health, Age Group",GiveFit FREE Workout Programs,145024,GiveFit,,,Clear
"Health, Age Group","Kennedy Krieger Family Center, Evaluation Clinic",143512,"Kennedy Krieger Family Center, Birth To Five Clinic",,,Clear
"Health, Age Group",Mental Health Resources,144918,Child Mind Institute,,,Clear
"Health, Age Group",Substance Use Disorder Treatment,144440,"Family Health Centers of Baltimore, Cherry Hill Center",,,Clear
"Health, Age Group",Prince George's County Crisis Response,144009,"Affiliated Sante Group, Prince George's County",,,Clear
"Health, Age Group","Family Health Centers of Baltimore, Calvert Street Center",142994,"Family Health Centers of Baltimore, Calvert Street Center",,,Clear
"Health, Age Group",Outpatient Psychiatric and Therapeutic Services,144706,Balance Point Wellness Baltimore,,,Clear
"Health, Age Group",Acupuncture,144707,Balance Point Wellness Baltimore,,,Clear
"Health, Age Group",Psychological Testing,144086,ABA Health Services,,,Clear
"Health, Age Group",Substance Abuse Treatment,144439,"Family Health Centers of Baltimore, Brooklyn",,,Clear
"Health, Age Group",Rehabilitation,144693,Augsburg Village,,,Clear
"Health, Age Group",Mental Health Therapy and Counseling,144084,ABA Health Services,,,Clear
"Health, Age Group",Psychiatric Visits,144052,ABA Health Services,,,Clear
"Health, Age Group",Substance Abuse Treatment,144479,"Glass Substance Abuse Program, Inc.",,,Clear
"Health, Age Group",Therapeutic Behavioral Services,144087,ABA Health Services,,,Clear
"Health, Age Group",Medical Services,144441,"Family Health Centers of Baltimore, Brooklyn",,,Clear
"Health, Age Group",Outpatient Program (OP),144288,New Vision House of Hope,,,Clear
"Health, Age Group",Outpatient Clinic,144369,Johns Hopkins Bayview Medical Center - Community Psychiatry Program,,,Clear
"Health, Age Group",Promoting Student Resilience,144056,Baltimore City Health Department Office of Youth & Trauma Services,,,Clear
"Health, Age Group",Outpatient Mental Health,144581,"Affiliated Sante Group, Prince George's County",,,Clear
"Health, Age Group, Armed Forces",Health Care,144712,Maryland Center for Veterans Education and Training,,,Clear
"Health, Age Group, Armed Forces, Citizenship, Criminal History, Gender & Sexuality, Health Specialties, Income, Insurance Accepted, Languages, Race/Ethnicity, Documents Needed, Special Hours",PrEP,144485,Sexual Health Clinic (Druid STD Clinic),,,Clear
"Health, Age Group, Armed Forces, Citizenship, Criminal History, Gender & Sexuality, Health Specialties, Income, Insurance Accepted, Languages, Race/Ethnicity, Documents Needed, Special Hours",PrEP,144486,Sexual Health Clinic,,,Clear
"Health, Age Group, Armed Forces, Gender & Sexuality, Family Friendly, Substance Use Treatment Preferences",Substance Abuse Treatment,144206,"Omnis Health Life, LLC",,,Clear
"Health, Age Group, Citizenship, Criminal History, Gender & Sexuality, Health Specialties, Insurance Accepted, Languages, Race/Ethnicity",Hepatitis C,144487,Sexual Health Clinic (Druid STD Clinic),,,Clear
"Health, Age Group, Citizenship, Criminal History, Gender & Sexuality, Health Specialties, Insurance Accepted, Languages, Race/Ethnicity",Hepatitis C,144488,Sexual Health Clinic,,,Clear
"Health, Age Group, Citizenship, Gender & Sexuality, Health Specialties, Insurance Accepted, Languages, Race/Ethnicity",HIV treatment,144489,Sexual Health Clinic (Druid STD Clinic),,,Clear
"Health, Age Group, Citizenship, Gender & Sexuality, Health Specialties, Insurance Accepted, Languages, Race/Ethnicity",HIV treatment,144490,Sexual Health Clinic,,,Clear
"Health, Age Group, Disability",Home Care,144556,Active Day of Timonium,,,Clear
"Health, Age Group, Disability",Home Care,144558,Active Day of Arbutus,,,Clear
"Health, Age Group, Disability",Home Care,144553,Active Day of Baltimore,,,Clear
"Health, Age Group, Disability",Home Care,144554,Active Day of Parkville,,,Clear
"Health, Age Group, Disability",Home Care,144552,Active Day of Randallstown,,,Clear
"Health, Age Group, Disability",THERAPEUTIC BEHAVIORAL SERVICES,144090,"All Walks of Life, LLC",,,Clear
"Health, Age Group, Disability",Baltimore Infants and Toddlers Program,144069,"Baltimore Infants and Toddlers Program, Baltimore City Health Department",,,Clear
"Health, Age Group, Disability, Gender & Sexuality, Health Specialties, Race/Ethnicity, Documents Needed, Housing",Residential Rehabilitation Services (RRP),144248,"Mosaic Community Services, Baltimore City",,,Clear
"Health, Age Group, Disability, Health Specialties",Psychiatric Rehabilitation Program,145327,Allover Healthcare Community,,,Clear
"Health, Age Group, Disability, Health Specialties",BACHS Healthcare,144219,BACHS Healthcare,,,Clear
"Health, Age Group, Disability, Health Specialties",Psychiatric Rehabilitation Programs,144578,"Affiliated Sante Group, Montgomery County",,,Clear
"Health, Age Group, Family Friendly",Outdoor Activities,145211,Virtual Recreation Center,,,Clear
"Health, Age Group, Family Friendly",Indoor Activities,145210,Virtual Recreation Center,,,Clear
"Health, Age Group, Family Friendly, Insurance Accepted",Families First Counseling,144204,Families First Counseling,,,Clear
"Health, Age Group, Family Friendly, Insurance Accepted",Insightful Life Therapeutic Services,144203,Insightful Life Therapeutic Services,,,Clear
"Health, Age Group, Gender & Sexuality, Documents Needed",Methadone Treatment,144024,MedMark Treatment Centers Baltimore Downtown,,,Clear
"Health, Age Group, Gender & Sexuality, Health Specialties",HIV/AIDS testing,144491,"New Opportunities for Women, Inc.",,,Clear
"Health, Age Group, Gender & Sexuality, Health Specialties, Family Friendly, Insurance Accepted, Race/Ethnicity, Documents Needed",Off-Site Counseling,144255,"Mosaic Community Services, Baltimore City",,,Clear
"Health, Age Group, Gender & Sexuality, Health Specialties, Insurance Accepted",Contraception (birth control),144493,Family planning and reproductive health services (eastern location),,,Clear
"Health, Age Group, Gender & Sexuality, Insurance Accepted",LGBT Health Services,145165,Chase Brexton Healthcare,,,Clear
"Health, Age Group, Gender & Sexuality, Insurance Accepted, Special Hours, Armed Forces, Citizenship, Disability, Employment, Health Specialties, Family Friendly, Income, Languages, Race/Ethnicity, Documents Needed",Outpatient Mental Health Clinic,144245,"Mosaic Community Services, Baltimore City",,,Clear
"Health, Age Group, Health Specialties","Franklin Square Hospital, Bay Life Services",142471,"Health Care for the Homeless, Inc., Baltimore County",,,Clear
"Health, Age Group, Health Specialties",Home Visiting Services,144423,"Baltimore City Health Dept., The Healthy Home Division",,,Clear
"Health, Age Group, Health Specialties",Home Visiting Services,144424,Community Asthma Program,,,Clear
"Health, Age Group, Health Specialties",HIV/AIDS Prevention Education,144492,"New Opportunities for Women, Inc.",,,Clear
"Health, Age Group, Health Specialties",Outpatient Clinic,144681,Aspen Day Treatment,,,Clear
"Health, Age Group, Health Specialties",Outpatient Services,144696,"Baltimore City Counseling Center, Frederick St.",,,Clear
"Health, Age Group, Health Specialties, Family Friendly, Languages",Lead Prevention Home Visits,144195,"Baltimore City Health Department, Childhood Lead Poisoning Prevention and Environmental Case Management Program",,,Clear
"Health, Age Group, Health Specialties, Family Friendly, Role",The Early Child Development Program,144625,Baltimore Healthy Start Inc,,,Clear
"Health, Age Group, Health Specialties, Insurance Accepted",Bright Horizons,144218,Bright Horizons,,,Clear
"Health, Age Group, Health Specialties, Insurance Accepted",Crisis Information and Referral Line,144054,Health Care Access Maryland,,,Clear
"Health, Age Group, Health Specialties, Insurance Accepted, Special Hours, Substance Use Treatment Preferences",Prevention and Recovery Center,144216,"Harbel Community Organization, Inc.",,,Clear
"Health, Age Group, Health Specialties, Insurance Accepted, Substance Use Treatment Preferences",Substance Abuse Program,144091,American Psychiatric Group,,,Clear
"Health, Age Group, Health Specialties, Substance Use Treatment Preferences",Community Institute of Behavioral Services,140943,"Bon Secours, Adapt Cares",,,Clear
"Health, Age Group, Income",Medical Clinic,144703,"Arundel House of Hope, Medical Clinic",,,Clear
"Health, Age Group, Insurance Accepted",Laboratory Services,144093,American Psychiatric Group,,,Clear
"Health, Age Group, Substance Use Treatment Preferences",Outpatient Services,144726,Powell Recovery Center,,,Clear
"Health, Age Group, Substance Use Treatment Preferences",Withdrawal Management,144725,Powell Recovery Center,,,Clear
"Health, Age Group, Substance Use Treatment Preferences",Residential Services,144727,Powell Recovery Center,,,Clear
"Health, Care","Sinai Hospital, Addictions Recovery Program",140843,Sinai Hospital Addictions Recovery Program,,,Clear
"Health, Care",Recovery For Life,144364,Recovery for Life,,,Clear
"Health, Care",Self-Help Support Groups-Methadone Anonymous,144161,"Bon Secours, New Hope Treatment Center",,,Clear
"Health, Care",University of Maryland Drug Treatment Center,142425,"University of Maryland, Center for Infants & Child Loss",,,Clear
"Health, Care","Baltimore City DSS, Child Care Program",141279,"Baltimore City DSS, Child Care Program",,,Clear
"Health, Care, Age Group",Psychiatric Rehabilitation Program,144728,Powell Recovery Center,,,Clear
"Health, Care, Age Group",Phone Case Management,145003,Charm City Care Connection,,,Clear
"Health, Care, Age Group",Friendship Line,145019,Institute on Aging,,,Clear
"Health, Care, Age Group",Children Having Incarcerated Parents,144572,"Alternative Directions, Inc.",,,Clear
"Health, Care, Age Group",Respite Care,144629,"American Caregivers, Inc.",,,Clear
"Health, Care, Age Group",Senior Services,144579,"Affiliated Sante Group, Montgomery County",,,Clear
"Health, Care, Age Group",Consumer-Run Wellness and Recovery Center,144580,"Affiliated Sante Group, Montgomery County",,,Clear
"Health, Care, Age Group",Center for Family Services,140876,"Catholic Charities of Balto., Center for Family Services",,,Clear
"Health, Care, Age Group",Home Visits,144624,Baltimore Healthy Start Inc,,,Clear
"Health, Care, Age Group, Armed Forces",Substance Use Disorder/Mental Health,144719,Maryland Center for Veterans Education and Training,,,Clear
"Health, Care, Age Group, Armed Forces, Housing",Case Management/Counseling,144713,Maryland Center for Veterans Education and Training,,,Clear
"Health, Care, Age Group, Citizenship, Health Specialties, Family Friendly",B'More for Healthy Babies,144061,Baltimore City Health Department Maternal & Child Health,,,Clear
"Health, Care, Age Group, Disability",Alternative Opportunities Program,144688,Athelas Institute Inc. Alternative Opportunities Program,,,Clear
"Health, Care, Age Group, Disability, Health Specialties",Way Station Camp Journey Respite Program,143506,Way Station Camp Journey Respite Program,,,Clear
"Health, Care, Age Group, Disability, Substance Use Treatment Preferences",Kernan Hospital,140329,Brain Injury Association of Maryland,,,Clear
"Health, Care, Age Group, Gender & Sexuality","Hearts & Ears, Inc.",144041,"Hearts & Ears, Inc.",,,Clear
"Health, Care, Age Group, Gender & Sexuality, Health Specialties, Race/Ethnicity, Survivors",Counseling,144325,"Hawkes Counseling Services, LLC",,,Clear
"Health, Care, Age Group, Health Specialties",Adult Day Health Care,144559,Active Day of Baltimore,,,Clear
"Health, Care, Age Group, Health Specialties",Adult Day Health Care,144560,Active Day of Randallstown,,,Clear
"Health, Care, Age Group, Health Specialties",Adult Day Health Care,144561,Active Day of Parkville,,,Clear
"Health, Care, Age Group, Health Specialties",Adult Day Health Care,144563,Active Day of Timonium,,,Clear
"Health, Care, Age Group, Health Specialties",Adult Day Health Care,144565,Active Day of Arbutus,,,Clear
"Health, Care, Age Group, Health Specialties, Insurance Accepted",Autism Spectrum Services,144630,"American Caregivers, Inc.",,,Clear
"Health, Care, Age Group, Health Specialties, Insurance Accepted",Therapeutic Services,144627,"American Caregivers, Inc.",,,Clear
"Health, Care, Age Group, Health Specialties, Substance Use Treatment Preferences",Senior Outreach Service,142168,Senior Outreach Service,,,Clear
"Health, Care, Education","Baltimore City Health Dept., The Healthy Home Division",143208,"Baltimore City Health Dept., The Healthy Home Division",,,Clear
"Health, Care, Education, Age Group, Disability, Health Specialties, Substance Use Treatment Preferences",Franklin Square Hospital Center,140181,Family Health Center at Medstar Franklin Square,,,Clear
"Health, Care, Education, Age Group, Education, Gender & Sexuality","Gay, Lesbian, & Straight Education Network (GLSEN)",144044,"Gay, Lesbian, & Straight Education Network (GLSEN) Maryland",,,Clear
"Health, Care, Education, Armed Forces, Gender & Sexuality",Residential Program,144751,The Baltimore Station,,,Clear
"Health, Care, Education, Health Specialties",Support Groups,144571,"The ALS Association, DC-MD-VA Chapter",,,Clear
"Health, Care, Education, Health Specialties, Substance Use Treatment Preferences","St. Joseph Medical Center, Community Outreach",140823,"St. Joseph Medical Center, Cardiovascular Fitness Program",,,Clear
"Health, Care, Education, Substance Use Treatment Preferences",Recovery in Community,142952,Recovery in Community,,,Clear
"Health, Care, Education, Substance Use Treatment Preferences",Substance Use Disorder Services,142172,"Act II Counseling Services, Inc.",,,Clear
"Health, Care, Insurance Accepted",Clinical Services,144077,"A Step Forward, Inc.",,,Clear
"Health, Care, Substance Use Treatment Preferences","Health Care for the Homeless, Inc., Baltimore County",143933,"Health Care for the Homeless, Inc., Baltimore County",,,Clear
"Health, Care, Survivors, Age Group, Gender & Sexuality",Abuse/Trauma Care and Support,142901,"Counseling, Helpline, & Aid Network for Abused",,,Clear
"Health, Disability, Emergency, Goods, Care, Work, Age Group, Health Specialties, Substance Use Treatment Preferences","Way Station, Inc.",140719,"Way Station, Inc.",,,Clear
"Health, Disability, Health Specialties","St. Joseph Medical Center, Medical Services",140613,"St. Joseph Medical Center, Cardiovascular Fitness Program",,,Clear
"Health, Disability, Health Specialties","Sinai Hospital, Rehabilitation Center",141101,"Sinai Hospital of Baltimore, Inc.",,,Clear
"Health, Education",Events (Eventos),144952,Centro SOL (Se Habla EspaÃ±ol),,,Clear
"Health, Education",Baltimore City Needle Exchange Program (Programa de Intercambio de Agujas),144897,Baltimore City Needle Exchange Program (NEP) (Se Habla EspaÃ±ol),,,Clear
"Health, Education, Age Group","Maryland Cooperative Extension, Cecil County",141238,"Maryland Cooperative Extension, Cecil County",,,Clear
"Health, Education, Age Group",Psychiatric Rehabilitation Program,144089,ABA Health Services,,,Clear
"Health, Education, Age Group","Maryland Cooperative Extension, Baltimore City",141233,"Maryland Cooperative Extension, Baltimore City",,,Clear
"Health, Education, Age Group","Baltimore City Health Dept., Comprehensive School Health Services",140827,"Baltimore City Health Department, Administration",,,Clear
"Health, Education, Age Group","Baltimore City Health Dept., Maternal & Child Health Admin",142702,"Baltimore City Health Department, Administration",,,Clear
"Health, Education, Age Group, Family Friendly, Substance Use Treatment Preferences",Dundalk Youth Service Center,140127,Dundalk Church of The Brethren Pantry,,,Clear
"Health, Education, Age Group, Health Specialties, Race/Ethnicity, Substance Use Treatment Preferences, Legal",STAR TRACK Clinic,142860,Adolescent STAR TRACK Program at University of Maryland,,,Clear
"Health, Education, Age Group, Housing",Services for Children,144419,Baltimore Outreach Services,,,Clear
"Health, Education, Age Group, Substance Use Treatment Preferences","Baltimore City Health Dept., Druid Health District",140844,"Baltimore City Health Dept., Druid Health District",,,Clear
"Health, Education, Disability",Parkinson's Disease and Movement Disorder Center of Johns Hopkins,142353,Parkinson's Disease and Movement Disorder Center of Johns Hopkins,,,Clear
"Health, Education, Gender & Sexuality, Health Specialties",Sexual Health Education,144541,The Journey Center,,,Clear
"Health, Education, Health Specialties","Total Health Care Inc., Division Street",141429,"Total Health Care, Inc.: Division Street",,,Clear
"Health, Education, Health Specialties","Catholic Charities of Balto., Pregnancy, Parenting/Adoption Svcs.",141037,"Catholic Charities of Balto., Center for Family Services",,,Clear
"Health, Education, Health Specialties, Substance Use Treatment Preferences","Total Health Care Inc., Kirk Avenue Center",141431,"Total Health Care, Inc.: Kirk Avenue Center",,,Clear
"Health, Education, Legal, Age Group, Education, Gender & Sexuality, Health Specialties, Survivors",Supporting Our Students,144059,Baltimore City Health Department Office of Youth & Trauma Services,,,Clear
"Health, Education, Legal, Gender & Sexuality","AIDS Action Baltimore, Inc.",141461,"AIDS Action Baltimore, Inc.",,,Clear
"Health, Education, Legal, Insurance Accepted",DWI/DUI Program,144076,"A Step Forward, Inc.",,,Clear
"Health, Education, Race/Ethnicity, Substance Use Treatment Preferences","Baltimore City Health Dept., HIV/STD Prevention Program",142456,"Baltimore City Health Department, Administration",,,Clear
"Health, Education, Work","Esperanza Center, Catholic Charities",140261,"Catholic Charities of Balto., Immigration Legal Services",,,Clear
"Health, Education, Work, Age Group, Disability, Health Specialties, Family Friendly","Baltimore City Health Dept., Adult School and Community Health",140897,"Baltimore City Health Department, Administration",,,Clear
"Health, Emergency, Citizenship, Income, Insurance Accepted, Languages, Race/Ethnicity",Esperanza Center Health Clinic (ClÃ­nica de Salud) (ECHC),144894,Esperanza Center (Se habla EspaÃ±ol),,,Clear
"Health, Family Friendly","University of Maryland, Center for Infants & Child Loss",142333,"University of Maryland, Center for Infants & Child Loss",,,Clear
"Health, Food",CASA Health Hotline,144948,CASA,,,Clear
"Health, Food, Care, Legal, Age Group, Disability, Health Specialties, Survivors, Substance Use Treatment Preferences",Jewish Community Services,140927,Jewish Big Brother & Big Sister League and Jewish Addiction Srvs.,,,Clear
"Health, Gender & Sexuality",Podcast,145094,Therapy for Black Girls,,,Clear
"Health, Gender & Sexuality, Family Friendly",Family Planning,144626,Baltimore Healthy Start Inc,,,Clear
"Health, Gender & Sexuality, Health Specialties",Reproductive Life Plan,144631,Baltimore Healthy Start Inc,,,Clear
"Health, Gender & Sexuality, Health Specialties",Milk Mates,144637,Baltimore Healthy Start Inc,,,Clear
"Health, Gender & Sexuality, Survivors",Case Management,144830,SPARC Center,,,Clear
"Health, Goods, Money, Care, Age Group, Disability","Baltimore City Commission on Aging & Retire., Senior Care Program",141163,"Baltimore City Commission on Aging & Retire., Ombudsman Program",,,Clear
"Health, Health Specialties",Narcotics Anonymous Meetings,145128,The Cheasapeake and Potamic Region of Narcotics Anonymous,,,Clear
"Health, Health Specialties",Drug Treatment,144829,COVID-19 HEALTH -- REACH Health Services,,,Clear
"Health, Health Specialties","Health, Substance Use Treatment",144831,Behavioral Health Leadership Institute Van,,,Clear
"Health, Health Specialties",Behavioral Health Partners of Frederick,143682,Behavioral Health Partners of Frederick,,,Clear
"Health, Health Specialties",Living with Type 2 Diabetes Program,144483,"American Diabetes Association, Baltimore Location",,,Clear
"Health, Health Specialties",Diabetes Self-Management Education and Support Services,144482,"American Diabetes Association, Baltimore Location",,,Clear
"Health, Health Specialties",Diabetes Prevention Program,144481,"American Diabetes Association, Baltimore Location",,,Clear
"Health, Health Specialties",HIV & Hepatitis C Testing,144537,The Journey Center,,,Clear
"Health, Health Specialties",PrEP & PEP,144540,The Journey Center,,,Clear
"Health, Health Specialties",Condom Distribution,144538,The Journey Center,,,Clear
"Health, Health Specialties",Linkage to HIV and/or Hepatitis C Medical Services,144539,The Journey Center,,,Clear
"Health, Health Specialties",Health Education,144545,"AbsoluteCARE, Baltimore",,,Clear
"Health, Health Specialties",Psychiatric Rehabilitation Program,144075,"A Step Forward, Inc.",,,Clear
"Health, Health Specialties",Other Health Care Needs,144548,"AbsoluteCARE, Baltimore",,,Clear
"Health, Health Specialties",Other Health Care Needs,144549,"AbsoluteCARE, Greenbelt",,,Clear
"Health, Health Specialties",Belly Buddies,144632,Baltimore Healthy Start Inc,,,Clear
"Health, Health Specialties, Care, Education, Legal, Age Group, Disability, Survivors, Substance Use Treatment Preferences","Sinai Hospital of Baltimore, Inc.",140580,"Sinai Hospital of Baltimore, Inc.",,,Clear
"Health, Health Specialties, Family Friendly, Housing",Group Education Sessions/ Healthy Home Gatherings,144196,"Baltimore City Health Department, Childhood Lead Poisoning Prevention and Environmental Case Management Program",,,Clear
"Health, Health Specialties, Family Friendly, Role",Infant Safe Sleep Program,144067,Health Care Access Maryland,,,Clear
"Health, Health Specialties, Income, Substance Use Treatment Preferences",Our Daily Bread Employment Center,143778,Christopher Place Employment Academy,,,Clear
"Health, Health Specialties, Insurance Accepted",OBGYN Services,144797,"Total Health Care, Inc.: West Side Health Center",,,Clear
"Health, Health Specialties, Substance Use Treatment Preferences, Criminal History, Disability, Documents Needed",Recovery Network,143182,Recovery Network,,,Clear
"Health, Health Specialties, Substance Use Treatment Preferences, Housing",AIDS Interfaith Residential Services (AIRS),139846,Homeless Persons Representation Project,,,Clear
"Health, Insurance Accepted",Revitalization Sessions,144078,"A Step Forward, Inc.",,,Clear
"Health, Insurance Accepted",General Services,144794,"Total Health Care, Inc.: Men's Health Center",,,Clear
"Health, Insurance Accepted",General Health Services,144796,"Total Health Care, Inc.: West Side Health Center",,,Clear
"Health, Insurance Accepted",Opiate addiction treatment,144575,"Alternatives to Dependency, Essex",,,Clear
"Health, Insurance Accepted",Mental Health Program,144063,American Psychiatric Group,,,Clear
"Health, Insurance Accepted",Methadone Maintenance,144550,A Helping Hand,,,Clear
"Health, Insurance Accepted",Suboxone Maintenance,144551,A Helping Hand,,,Clear
"Health, Insurance Accepted, Substance Use Treatment Preferences",Substance Abuse Treatment,144080,"A Step Forward, Inc.",,,Clear
"Health, Languages",TAP Primary Care Clinics (TAP ClÃ­nicas de AtenciÃ³n Primaria),145159,The Access Partnership (SALUD -- Se Habla EspaÃ±ol),,,Clear
"Health, Languages",TAP Navigator (Ayudante de elegibilidad y casos),145160,The Access Partnership (SALUD -- Se Habla EspaÃ±ol),,,Clear
"Health, Legal, Age Group, Health Specialties, Insurance Accepted","Inspirations, LLS",144062,"Inspiration, LLC",,,Clear
"Health, Legal, Health Specialties, Substance Use Treatment Preferences","University of Maryland Medical Ctr., PACT",139835,"University of Maryland, Center for Infants & Child Loss",,,Clear
"Health, Money",Financial Assistance Grants,142250,American Kidney Fund,,,Clear
"Health, Money, Age Group, Income",Care Coordination Program,144064,Health Care Access Maryland,,,Clear
"Health, Money, Care",Family Resources,145224,Wylie Funeral Home,,,Clear
"Health, Money, Care, Age Group, Family Friendly",Grief Support,145223,Wylie Funeral Home,,,Clear
